,Experiment name,L1 channels,L2 channels,L3 N,L1 Wt sparsity,L2 Wt sparsity,L3 Wt sparsity,Non-zero params,Accuracy,Iteration,Best accuracy,L2 dimensionality,L3 dimensionality,Seed,ID
0,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,9.796238244514106,0,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
1,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,85.03134796238244,1,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
2,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,26.410658307210035,2,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
3,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,52.39028213166145,3,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
4,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,89.81191222570533,4,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
5,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,93.18181818181817,5,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
6,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,90.04702194357367,6,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
7,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,93.49529780564264,7,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
8,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,57.09247648902821,8,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
9,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,93.49529780564264,9,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
10,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,92.55485893416929,10,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
11,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,66.02664576802508,11,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
12,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,93.92633228840126,12,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
13,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,94.71003134796238,13,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
14,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.45454545454545,14,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
15,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,94.98432601880877,15,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
16,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.25862068965517,16,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
17,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.72884012539184,17,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
18,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.57210031347962,18,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
19,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.84639498432603,19,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
20,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.72884012539184,20,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
21,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.57210031347962,21,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
22,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.6896551724138,22,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
23,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.84639498432603,23,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
24,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.92476489028213,24,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
25,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.61128526645768,25,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
26,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.6896551724138,26,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
27,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.84639498432603,27,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
28,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.53291536050156,28,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
29,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,95.72884012539184,29,95.92476489028213,800,800,1031,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
30,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,15.164576802507836,0,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
31,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,84.63949843260188,1,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
32,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,77.11598746081505,2,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
33,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,91.02664576802508,3,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
34,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,89.18495297805643,4,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
35,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,93.2601880877743,5,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
36,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,94.04388714733543,6,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
37,Dense_Baselines,32,32,1000,0.0,0.0,0.0,839476,77.62539184952978,7,96.74764890282131,800,800,4514,Dense_Baselines cnn_out_channels=(32 32)linear_n=(1000)
